الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
سوسن اسجيع,2022_2023,منتجع نادي الفروسية الريفي,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام إداري وتقني متكامل لأتمتة العمليات داخل منتجعات نوادي الفروسية الريفية. يجمع النظام بين إدارة المنشآت الفندقية (الشاليهات والمطاعم) وإدارة الأنشطة الرياضية (إسطبلات الخيول، جداول التدريب، والسباقات). يركز المشروع على رقمنة السجلات الصحية والتدريبية للخيول، وتنظيم حجوزات الزوار عبر منصة موحدة تضمن كفاءة التشغيل وتوفر تجربة مستخدم عصرية تمزج بين الأصالة والتقنية."""
جميلة ابراهيم,2022_2023,تطبيق اندرويد لتنظيم رحلات السفر بين محافظات,"يهدف هذا المشروع إلى تصميم وتنفيذ تطبيق أندرويد متكامل لأتمتة وتنظيم رحلات السفر البري بين المحافظات. يعمل التطبيق كمنصة مركزية تربط بين شركات النقل (أو السائقين) والمسافرين، مما يسهل عملية حجز المقاعد، تتبع الرحلات لحظياً، وإدارة الجداول الزمنية. يركز المشروع على تحسين كفاءة النقل وتوفير تجربة مستخدم آمنة وموثوقة من خلال قاعدة بيانات ديناميكية تضمن دقة المواعيد وتوافر المعلومات في الوقت الفعلي."
زكريا مهروسة,2022_2023,تصميم لعبة FloppBrids واستعمال خوارزمية Neat في ذكاء صنعي لتعلم الالة,"بيئة محاكاة للعبة Flappy Bird ودمجها مع خوارزمية NEAT (NeuroEvolution of Augmenting Topologies) لتدريب وكيل ذكاء اصطناعي (AI Agent) على لعب اللعبة واجتياز العقبات بشكل ذاتي. بدلاً من البرمجة التقليدية للأوامر، يعتمد المشروع على التطور العصبي؛ حيث يبدأ النظام بمجموعة من الطيور ذات أدمغة إلكترونية عشوائية، ومن ثم تتطور هذه الأدمغة عبر الأجيال (Generations) من خلال عمليات الطفرة (Mutation) والانتخاب الطبيعي (Natural Selection) للوصول إلى النموذج الأمثل القادر على اللعب بمهارة تفوق البشر"
سوسن اسجميع,2022_2023,منظوفة شريان اسعافية,"يهدف هذا المشروع إلى تصميم وتنفيذ منظومة رقمية متكاملة لأتمتة عمليات الإسعاف والطوارئ. تعمل المنصة كحلقة وصل تقنية بين المتصل (المصاب)، مركز العمليات، وسيارات الإسعاف. يعتمد النظام على تقنيات تحديد المواقع اللحظي (Real-time GPS) وخوارزميات التوجيه الذكي لضمان وصول أقرب سيارة إسعاف للمريض عبر أسرع مسار ممكن، مع توفير واجهة لتبادل البيانات الحيوية للمريض مع المستشفى قبل وصوله، مما يساهم في إنقاذ الأرواح وتقليل زمن الاستجابة."""
محمود رحال,2022_2023,الكشف عن فقاعة هوائية وقياس برامترات فيزيولجية,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام مؤتمت يعتمد على الرؤية الحاسوبية للكشف عن الفقاعات الهوائية ضمن الأوساط السائلة وتحليل سلوكها. يقوم النظام بمعالجة دفق الصور اللحظي (Real-time Video Stream) لعزل الفقاعات عن الخلفية، ومن ثم استخدام خوارزميات رياضية لقياس برامتراتها الفيزيائية بدقة عالية. يساهم المشروع في تطوير أنظمة المراقبة الصناعية والمخبرية التي تتطلب دقة متناهية في مراقبة جودة السوائل أو دراسة الظواهر الفيزيائية المعقدة"
سوسن اسجيع,2022_2023,مدرب اللياقة البدني الذاتي الرقمي,"يهدف هذا المشروع إلى تصميم وتنفيذ مدرب رياضي افتراضي يعتمد على تقنيات الذكاء الاصطناعي لتوجيه المستخدمين وتصحيح أخطائهم الحركية أثناء التمرين دون الحاجة لمدرب بشري. يقوم النظام بتحليل هيكل الجسم البشري (Human Pose Estimation) من خلال كاميرا الهاتف أو الحاسوب، ومقارنة الزوايا الحركية للمستخدم بالمعايير الصحيحة لكل تمرين، مع تقديم تغذية راجعة صوتية وبصرية فورية لضمان الأداء السليم وتجنب الإصابات"
جميلة ابراهيم,2023-2024,بطاقة جامعية ذكية,"الهدف من المشروع: ❖ التحكم في الدخول: استخدام البطاقة كمفتاح للدخول الغرف الخاصة داخل الحرم الجامعي. ❖ التعريف الشخصي: استخدام البطاقة كوثيقة هوية لتأكيد هوية الطالب داخل الحرم الجامعي. ❖ تتبع الحضور: استخدام البطاقة لتسجيل حضور الطالب في المحاضرات والفصول الدراسية. ❖ الوصول إلى الموارد األكاديمية: استخدام البطاقة للوصول إلى المكتبات، واستعارة الكتب"
عثمان اسماعيل,2023-2024,الطبيب الذكي,"نظام لعرض الأعراض المرضية التي يمكن أن تصيب أي إنسان بحيث يتيح للمستخدم القيام بتحديد الأعراض التي يعاني منها ودرجتها ومن ثم يقوم النظام بمعالجة المدخلات والمقارنة مع القواعد المحفوظة بإستخدام السالسل االأمامية (Forward Feed )ضمن النظام، وتحديد المرض ونسبة تحققه ومن ثم اقتراح عالج مناسب ( دواء , طبيب ) والغاية من النظام التسهيل على المرضى معرفة مرضهم عبر الأجهزة الذكية بسهولة وسرعة."
محمود  شعار,2023-2024,تطبيق أندرويد لمتابعة أوضاع المرضى ضمن مشفى,يتألف المشروع من جزئيين: 1 ( موقع ويب يخص إدارة المشفى . 2 ( تطبيق محمول يخص المستخدمين سواء كان طبيب أوممرض أو مريض
جميلة ابراهيم,2023-2024,تطبيق تعلم اللغة الإنكليزية وتصحيح النطق للأطفال,"بمجرد فتح التطبيق، يُعرض لألطفال الواجهة الرئيسية التي توفر إمكانية الوصول الفوري إلى الأنشطة المختلفة. يتيح التطبيق الخيارات التالية:الاستماع للقصص وقراءتها وتحسين النطق والاختبارات"
محمود رحال,2023-2024,الاستفادة العظمى من طاقة الألواح الشمسية,تقديم حلول من شأنها ان ترفع مستوى وأداء المنظومة الشمسية وجعل المستهلك يحصل على المردود المتوقع وبكفاءة وإتاحة وسائل الحماية المسؤولة عن الحد من حاالت الهدر التي يقع فيها المستهلك
محمود  شعار,2023-2024,متجر للأدوات المستعملة,"يقدم تطبيق Tools Used العديد من الخدمات لمستخدميه, أهمها فرصة إعادة استخدام أدوات مستخدمين آخرين, واجهات سهلة وبسيطة التعامل معها, إمكانية البحث عن أداة ما باستخدام اسمها الكامل أو باستخدام إحدى أدوات البحث المقدمة داخل التطبيق )بحث باستخدام التصنيف , بحث باستخدام Tags,بحث ضمن مجال أسعار محدد...(."
عثمان اسماعيل,2023-2024,تطبيق أندرويدعن أشخاص ضائعين,تطبيق يستخدم تقنيات الذكاء االصطناعي لتطابق الصور للمساعدة في العثور على األشخاص الضائعين. سيتيح التطبيق للمستخدمين تحميل صورة للشخص المفقود ومن ثم استخدام خوارزميات التعلم العميق وتحليل الصور للبحث عن مطابقات محتملة في قواعد البيانات المتاحة.
جميلة ابراهيم,2023-2024,اقتراحات ذكية لبصمة الوجه,"التطبيق يساعد على تقديم حلول ونصائح واقتراحات عن طريق الفيديوهات و المنشورات معتمداً على مراعاة الفئة العمرية والحالة النفسية وحتى جنسية الفرد من خلال معالم الوجه , ذلك يساهم في خلق بيئة ملائمة لجميع مستويات األفراد"
جميلة ابراهيم-سوسن اسجيع,2023-2024,بوابة هندسة الحواسيب التعليمية,"
بقع المشروع ضمن مجال هندسة البرمجيات وأنظمة التعلم االالكتروني لادارة المواعيد والمعلومات 
والموارد المتاحة في قسم الحواسيب
فكرة المشروع تصب في مجال نظام إدارة التعلم LMS لبناء موقع ويب يعرف باسم ""بوابة هندسة 
الحواسيب التعليمية"". "
عثمان اسماعيل,2023-2024, تحليل البرمجيات الخبيثة,"سيتم تقديم نظرة شاملة عن طبيعة البرمجيَّات الخبيثة وأنواعها وأساليب انتشارها، يليها استعراضاً شاملاللأدوات والتقنيَّات اللمستخدمة في تحليلها بشكل فعَّال كما سيتم استعراض التحديات والتقنيات المتقدمة المستخدمة في هذا المجال مع تقديم النتائج المتوقعة وأهميتها في مجال الأمن السيبراني الحديث ,"
عثمان اسماعيل,2023-2024,I -Learn,"تحوي المنصة على ثالث أنواع من المحتوى العلمي (دورة، درس قصير، تخصص) ,تقوم المنصة بتحفيز المتعلمين من خالل المسابقات والمشاريع الدورية التي يتم االعالن عنها، وتوجه المتعلم الى هدفه وتضعه على أفضل طريق للوصل الى هدفه من خالل توليد خارطة تعلم map road له واقتراح الدورات المناسبة لكل مرحلة"
عثمان اسماعيل,2023-2024,تطبيق  Flatterلكشف داء مرض باركنسون الدماغي باستخدام الشبكات العصبونية,يمكن للمريض استخدام التطبيق لفحص صورة الرنين المغناطيسي لدماغه ومراسلة الطبيب مباشرة
عثمان اسماعيل,2023-2024,اجراء اختبار DNA لأشخاص مصابين بمرض معين,"موقع ويب يكشف األمراض الجينية  بواسطة الذكاء االصطناعي من خلال موديول الذكاء سوف نحصل على البيانات والنتائج,ث ندرب المشروع لكي يميز الصور المريضة والسليمة، وهذا التدريب مؤلف من قسم لل تدريب وقسم ِآخر للاختبار, بعد انتهاء التدريب نحصل على الموديول الذي سنستخدمه في موقع الويب"
محمود  شعار,2023-2024,تطبيق أندرويد لادارة صالون تجميل,تطبيق اندرويد إلدارة صالون تجميل يهدف إلى تسهيل الحجز للزبائن في ً الوقت الذي يرغبون به إلى إمكانية إضافة اختيار الموظفين الذين يقدمون خدمات الصالون مع اختيار الخدمة المرغوبة ويعرض التطبيق أيضاً خدمات الصالون والعروض المتاحة لديه.
محمود  شعار,2023-2024,حجز موعد عند أقرب طبيب,تطبيق أندرويد لحجز مواعيد عندالأطباء حيث ينقسم الى  تطبيق الطبيب وتطبيق للمستخدم وتطبيق إلمسؤول أما تطبيق إلطبيب يقوم(بعد تقديم طلب لالنضمام)بإضافة موإعيد وعروض وقبول حجوزإت وتقديم نصائح طبية وتقديم إستشارة طبية للمستخدمين والتواصل مع إلمسؤول أما تطبيق إلمستخدم تسجيل إلدخول عربحساب غوغل
محمود  شعار,2023-2024,نظام ذكي لمراقبة الموظفين,"نظام ذكي يعمل على أنظمة المراقبة الخاصة بالشركة أو المنشأة يقوم هذا النظام 
بالتعرف على الموظفين عن طريق الذكاء الصناعي ويقوم بتسجيل دخول لهذا الموظف عند دخوله كما يقوم 
بتسجيل خروجه كذلك ويقوم النظام بالتعرف على الحالة النفسية للموظف وتقديم اقتراحات مناسبة للحالة التي 
تعرف عليها األمر الذي سيؤدي إلى معرفة مدى التزام الموظفين بأوقات الدوام و زيادة األمان في الشركة 
بعدم السماح لغير المصرح بهم بالدخول إلى الشركة و التركيز على تجربة الموظف يجعل مكان العمل 
مرغوبا فيه أكثر و تعزز شعور الموظفين بالانتماء للشركة مما يجعلهم يقدمون خدمات أفضل للعملاء
وبالتالي زيادة عدد العملاء وزيادة الايرادات"
محمود رحال,2023-2024,الكشف عن أورام الدماغ باستخدام الذكاء الصنعي,"هو إنشاء موقع ويب للكشف عن أورام الدماغ باستخدام خوارزمية الذكاء الصنعي(CNN)حيث تم التدريب على عدة صور لكل مجموعة من الاورام وتم إجراء عملية االاختبار وتقييم دقة النتائج، وتساعد على اكتشاف الورم المطلوب واستخدمنا تقنية معالجة الصورة التي تهتم بإجراء عمليات على الصور بهدف تحسينها ويمكن استخدام هذا المشروع في تحسين الكشف وتشخيص أورام الدماغ بطريقة أكثر دقة وسرعة باستخدام الذكاء االصطناعي."
محمود رحال,2023-2024,أتمتة شؤون الطلاب في معهد الهندسة الميكانيكية ةالكهربائية,"مشروع لبناء نظام أتمتة شؤون الطلاب في معهد الهندسة الميكانيكية والكهربائية، يهدف لتحسين تجربة الطالب والموظفين من خالل تطوير النظام وتحسينه مما يجعله أكثر فعالية وسرعة"
محمد أيمن نعال,2023-2024,تصميم ومحاكاة شبكة لادارة البنية التحتية لشركة والمخدمات الخاصة بها,"یعتبر ھذا المشروع تحديا ھندسیا متقدما  حیث یھدف إلى إنشاء بنیة تحتیة شبكیة متكاملة تتضمن استخدام أحدث التقنیات والأدوات، تربط أقسام الشركة مع بعضھا وتؤمن الاتصال وتبادل المعلومات بینھم بأمان، بالإضافة إلى توفیر خدمات متقدمة للموظفین مثل الایمیل الداخلي ومشاركة الملفات، مع تنفیذ سیاسات أمنیة محددة"
محمد أيمن نعال,2023-2024,منصة زدني التعليمية,"منصة تعليمية مثل ""زدني"" تسمح لألفراد من جميع األعمار والخلفيات بالوصول إلى مواد تعليمية متنوعة بسهولة. هذا يساعد في توفير فرص التعليم للجميع دون قيود جغ ارفية أو اقتصادية."
ديمة مفتي الشوافعة,2023-2024,تطبيق لتتبع حركة العين أثناء تصفح الويب,جاءت فكرة المشوع لتحليل وفهم كيفية تفاعل المستخدمين مع صفحات الويب من خلال تتبع حركة أعينهم أثناء  التصفح ويمكن أن يوفر هذا المشروع رؤى قيمة حول كيفية تصميم وتحسين تجارب المستخدم  الانترنت بناءعلى البيانات الفعلية لسلوك المستخدم.
محمد أيمن نعال,2023-2024,منصة تعلم الكترونية,"توفير منصة للتعلم الالكتروني، وهي بيئة افتراضية تهدف إلى تمكين الطالب والمتعلمين من الوصول إلى محتوى تعليمي متنوع بطرق مبتكرة وفعالة. ستكون المنصة متاحة عبر الانترنت ويمكن الوصول إليها من أي جهاز متصل بالانترنت."
محمد أيمن نعال,2023-2024,تطبيق مكتبي لأتمتة مؤسسة انشائية,"يهدف المشروع إلى تزويد الشركات الهندسية الاشائية والمعمارية بواجهة مكتبية بسيطة لتسجيل بيانات مشاريع وموظفي الشركة ومهامهم حاسوبيًّا، وتمكين الشركة من مراقبة التغيرات وتحريرها."
زكريا مهروسة,2023-2024,نظام إدارة فندق,موقع ويب يهدف الى تسهيل عملية حجز الغرف للنزلاء بحيث يستطيع الشخص الدخول الى الموقع ومشاهدة جميع  الغرف المتاحة وحجز الغرفة المناسبةعن طريق الموقع
زكريا مهروسة,2023-2024,محاكاة شبكة لشركة باستخدام الCCNA,1دعم الشركة بالتكنولوجيا اللازمة للاستغناء عن المعاملات الورقية التي تستهلك الوقت و الجهد و المال . .2 دعم أداء الشبكة بشكل كبير و تطبيق بعض الأفكار الديناميكية ضمن الشبكة و هذا يعطي بالنتيجة أداء أفضل للشبكة . .3 مواكبة التطور التكنلوجي من حيث خدمة العمالء و الوصول بالشركة إلى المستوى المطلوب . .4 الشبكة المصممة تساعد في تلبية متطلبات العمل من السرعة و الوثوقية في خدمة العمالء و استخدام الوقت لخدمة العمل بشكل مثالي .
مريم قولي,2023-2024,موقع ويب لبيع وشراء العقارات,"هو موقع ويب لبيع، شراء وأجار العقارات بحيث يمكن للمستخدم عرض العقار عليه او البحث فيه . يتم التركيز على التفاصيل الراغب بها المشتري بحيث يتم العثور على أكثر عقار مناسب له وكذلك التفاصيل الراغب بها البائع بحيث يتم العثور على افضل عرض له"
مريم قولي,2023-2024,Karnugh Map,"تطبیق لاختصار التوابع المنطقیة باستخدام طریقة كارنوف او طریقة 
كارنوف لاختصار التوابع البولیانیة او اختصار الدارات المنطقیة باستخدام 
طریقة كارنوف في الاختزال تختلف التسمیات لكن مبدأ العمل واحد وھو ان 
لدینا تطبیق یقوم باختزال التوابع المنطقیة ذات مدخلان او ثلاث او اربع 
وذالك عن طریق تحدید عدد المدخلات وتحدید الصیغة المرجعیة للخرج 
المراد اختزالها"
مريم قولي,2023-2024,الشفاء والحياة,"يهدف هذا المشروع إلى تطوير تطبيق موبايل لأتمتة العلاقة بين المراكز الطبية و الأطباء و المرضى ، مما يوفر الر ا حة والفعالية في التنظيم والتواصل بين المرضى و األطباء ."
اياد هلالي,2023-2024,تطبيق الدليل الشامل لكلية الهندسة الكهربائية والالكترونية,"الأهداف
 دعم الطالب من خالل توفير الكتب بأسعار مناسبة أو بالمجان.
 تقديم خدمات سكن ملائمة للطالب."
مريم قولي,2023-2024,المنزل الذكي,تم البحث والدراسة لتنفيذ مشروع البيت الذكي حيث تم تركيب حساس لتسرب الغاز وحساس للحرارة والرطوبة وحساس لهبب من أجل الحريق ومحركين سيرفو لفتح وإغالق النوافذ مع إنذار صوتي وضوئي باستخدام متحكم من نوع ESP Arduino ليتم إعطاء األوامر من الجهاز.
سوسن اسجيع,2023-2024,بناء نظام دردشة الية تعليمي ذكي,يوفر البوت خدمة الرد الالي النصي للطالب ويمكن الحصول على المعلومات التي يحتاجونها بسرعة وسهولة مما يساعد في توفير الوقت والجهد للطلاب ويسهم في زيادة الإنتاجية  ويعمل على مدار 24ساعة 
سوسن اسجيع,2023-2024,تطوير نظام تصويت الكتروني محمي باستخدام تقنية التوقيع الأعمى,"بناء نظام تصويت الكتروني آمن يهدف إلى رقمنة العمليات االانتخابية التي تجري في الدوائر الحكومية في بلدنا بغرض تخفيف الجهد البشري الحاصل في العملية االانتخابية والتوفير على الناخبين عناء القدوم للادلاء بأصواتهم، حوسبة معظم مراحل العملية االانتخابية من شأنه أن يسرع العملية االنتخابية بشكل كبير ويزيد من جودة العملية االانتخابية، وذلك بتحويل معظم إجراءات العملية االانتخابية إلى إجراءات مبرمجة تقوم بها برامج حاسوبية"
سوسن اسجيع,2023-2024,بناء منصة تكيفية لاقتراح مشروع ختامي بحسب المقدرات الفردية لطلاب المرحلة الجامعية,"يهدف المشروع إلى بناء أداة تعمل كأداة جمع بيانات من خلال االاستبيانات وتنظيمها بطريقة فعالة وذكية، وتستخدم ا الأداة أساليب الذكاء االصطناعي لتحليل البيانات وتجميع المشاركين بحسب نتائج االاستبيانات في مجموعات بناءً على خصائصهم المشتركة، مما يساعد الباحثين واألكاديميين في فهم تفاصيل أكثر دقة حول الجمهور المستهدف واحتياجاته."
سوسن اسجيع,2023-2024,بناء منصة ذكية لرياضة كرة القدم,"المشروع هو تطبيق هاتف محمول مبرمج باستخدام تقنية فلاتر ,يتميز بكونه منصة تشمل وظيفة توقع نتيجة مباريات كرة القدم ,حيث تتيح للمستخدمين تحليل الاحصائيات  والبيانات المتعلقة بالمبارات باستخدام نموذج ذكاء اصطناعيل لتعليم الالة باستخدام خوارزميات الغابات العشوائية والتصنيف الفئوي واختيار الافضل منها,ثم تطويره وتدريبه باستخدام لغة البرمجة بايثون "
محمود رحال,2023-2024,موقع بيع وشراء العقارات عن طريق خارطة تفاعل بشكل الكتروني,"يهدف هذا المشروع الى توفير منصة عبر االانترنت تسمح للمستخدمين بالبحث عن العقارات المتاحة للبيع او الايجار باستخدام تقنية GPS حيث يمكن للمستخدمين تصفح الخريطة والعثور على العقارات المتاحة في مناطق محددة، وعرض تفاصيل العقارات والصور واالأسعار."
ديمة مفتي الشوافعة,2023-2024,المكتبة الذكية,الهدف من هذا المشروع هو تصميم وتطوير موقع ويب لمكتبة ذكية يتميز بنظام توصية متقدم يستخدم الذكاء االصطناعي وتعلم الالة للتنبؤ بتفضيلات المستخدمين واقتراح موارد معلوماتية ملائمة
زكريا مهروسة,2023-2024,تطبيق توصيل (تكسي),"تطبيق خدمة التوصيل (تكسي )هو تطبيق يهدف إلى تسهيل عملية حجز وتوصيل الركاب من مكان إلى آخر عبر استخدام تطبيق على الهاتف المحمول. يعتمد هذا المشروع على تقنيات الهاتف المحمول ونظم تحديد المواقع لتوفير خدمة توصيل سريعة وفعالة بشكل عام، مشروع تطبيق التوصيل (تكسي) يهدف إلى تحسين تجربة الركاب والسائقين في عملية التوصيل وتوفير خدمة سريعة وآمنة بأعلى مستوى من الجودة"
زكريا مهروسة,2023-2024,نظام إدارة معهد متكامل,"إدارة معھد تعلیمي متكامل، من خلال استخدام لغات برمجیة خاصة بالتصمیم والبناء (End-Back ,End-Front(، حیث أن الموقع یوفر خدمات للطلاب (القاعات التدریسیة، البرنامج الأسبوعي، المذاكرات، الامتحانات،العلامات، المعدلات)، وذویھم من خلال التواصل المباشر بإدارة المعھد، كما ینظم عمل الكادر التدریسي في المعھد، بالإضافة إلى تنظیم الإدارة المالیة للمعھد."
أحمد بليد,2023-2024,منصة خدمات عامة,"ميزات المشروع: .1 قائمة بالخدمات المتاحة: تضم المنصة قائمة شاملة بالخدمات العامة المتاحة مثل، التعليم، النقل العام، الخدمات االجتماعية، خدمات البيع والشراء والمزيد. .2 حجز الخدمات: يتيح الموقع للمستخدمين حجز الخدمات المطلوبة عبر االانترنت بسهولة. .3 تقديم طلبات الخدمات: يتيح الموقع للمستخدمين تقديم طلبات للحصول على خدمات محددة والحصول على مساعدة"
زكريا مهروسة,2023-2024,تطبيق أندرويد للمراقبة الأبوية في المدرسة,يتمتع هذا التطبيق بميزات عدة منها: -1التواصل من خلال رسائل من التطبيق نفسه -2زيادة اهتمام الطالب بأموره الدراسية بسبب معرفة الأهل بجميع ما يقوم به داخل المدرسة -3تحفيز الطالب على الدراسة من خالل إرسال رسائل تهتم (مكافئة الطالب المتفوقين- إعلانات عن أنشطة لتنمية المواهب – إعلانات عن رحل ترفيهية)-4التزام الطالب بسلوكه الجيد و دوامه وذلك بإرسال تنبيهات لألهل في حال لزوم الأمر -5تسهيل عملية تفقد الطالب بالنسبة للمعلم
أحمد بليد,2023-2024,تطبيق توصيل الطعام ضمن محافظة حلب(Delivery),"انشاء تطبيق Delievery الذي يتيح للجميع التوصية على أي 
نوع طعام يريدونه من أي متجر أو مطعم يختارونه كذلك طورنا ميزة الدفع الالكتروني لتجنب حدوث 
أي التباس أو خطأ مما يوفر الراحة والأمان لكل من المستخدم وصاحب المطعم"
أحمد بليد,2023-2024,تطبيق  عن صعوبات التعلم عند الأطفال وقياس مستوى الذكاء,"إنشاء تطبيق يقوم بقياس نسبة ذكاء لدى كل من الصغار والكبار اعتمادا على اختبار المصفوفات المتتابعة الملونة ل ""raven"" يتم عن طريق اجتياز عدة اختبارات خلال زمن يحدد حسب عمر المستخدم لدينا 3 فئات من االختبارات (أ-أب-ب),بعد قيام الشخص باختبار يحسن التطبيق النتيجه حسب معيار رافن ويظهر نسبه الذكاء ويساعد التطبيق ايضا على كشف ماهية صعوبات التعلم عند الأطفال عن طريق اختبارات اولية ومتقدمة نحدد نوع الاختبار حسب عمر الطفل وبعد اتمام االاختبار نتمكن من معرفة نوع مشكلة التعلم لدى الطفل ومعالجتها من قبل الاخصائيين والأهل."
أحمد بليد,2023-2024,تطبيق البيوت البلاستيكية أون لاين,"النظام يختص ببيع وتأجير البيوت السكنية لذا يتطلب وجود قواعد بيانات بالاضافة لمخططات توضح كيفية تدفق هذه البيانات، مدخلات النظام هي كل ما يتعلق بمعلومات الزبائن والمستخدمين والبائعين، مخرجات النظام توضح مناطق العقار ومعلومات حول العقار وتعرض تقارير عن الزبائن وتقارير عن العقارات المتاحة"
أحمد بليد,2023-2024,تطبيق خدمي لمساعدة الأشخاص على إيجاد الأدوية المفقودة,تطبيق يهدف إلى تحسين تجربة الصيادلة والمستخدمين في مجال بدايةً الصيدليات والحصول على الأدوية. سنقوم بتقديم تطبيقين مختلفين: أحدهما موجه للصيادلة والاخر للمستخدمين النهائيين.
محمود رحال,2023-2024,,مشروع روبوت اسعاف حربي يهدف الى تصنيع روبوتات ذكية قادرة على تقديم الإسعافات الأولية ونقل الجرحى في مناطق الحروب والكوارث ويستخدم التكنولوجيا لتقديم المساعدة الطبية بشكل سريع وفعال دون تعويض حياة الأفراد للخطر  
محمود رحال,2023-2024,التعرف على المشاعر الوجهية,"تتمتع تطبيقات التعرف على المشاعر الوجهية بإمكانيات واسعة تشمل مجالات مثل الرعاية الصحية، حيث يمكن 
استخدامها لمراقبة الحالة النفسية للمرضى، والتعليم، حيث تساعد في تحسين التفاعل بين المدرس والطالب من 
خلال فهم مشاعرهم، بالاضافة إلى التطبيقات الترفيهية والتجارية مثل الألعاب االالكترونية وتجارب التسوق 
الشخصية. 
في هذا البحث، سنستعرض التقنيات والأساليب المستخدمة في التعرف على المشاعر الوجهية، مع التركيز على 
أهمية قواعد البيانات المتطورة مثل Plus-FER في تحسين دقة النماذج. سنتناول أيضا  التحديات التي تواجه هذا
المجال والفرص المستقبلية لتطويره وتطبيقاته المتنوعة."
محمود رحال,2023-2024,كشف عن مرض الرئة باستخدام صورة X-ray," االهدف من المشروع :1التشخيص المبكر والدقيق: صور الأشعة السينية للرئة يمكن أن تساعد في الكشف عن العديد من الأمراض الرئوية في مراحلها المبكرة، مثل السرطان وااللتهابات والندبات. هذا التشخيص المبكر يمكن أن يح يحسن من فرص العالج والشفاء. .2 التمييز بين الأمراض الرئوية: صور الأشعة السينية توفر معلومات تشريحية عن الرئتين، مما يساعد الأطباء في التمييز بين مختلف الأمراض الرئوية كالسرطان والتليف الرئوي وااللتهابات. .3 المتابعة والرصد: صور األشعة السينية المتكررة تسمح بمتابعة تطور المرض الرئوي وتقييم فعالية العلاج. .4 البحث والتطوير: استخدام صور الأشعة السينية في مشاريع بحثية يساعد في تطوير تقنيات تشخيصية جديدة وأدوات تحليل أكثر دقة باستخدام الذكاء االصطناعي. .5 الوقاية والكشف المبكر: برامج الفحص الشامل باستخدام صور األشعة السينية للرئة قد تسمح بالكشف المبكر عن الأمراض الرئوية في المراحل االأولى لدى السكان عموماً ."
محمود رحال,2023_2024,موقع بيع وشراء العقارات عن طريق خارطة تفاعل بشكل الكتروني,يهدف مشروع الى توفير منصة عبر الانترنيت تسمح للمستخدمين بالبحث عن عقارات المتاحة للبيع او الإيجار باستخدام تقنية GPS حيث يمكن للمستخدمين تصفح الخريطة والعثور على العقارات المتاحة في مناطق محددة وعرض تفاصيل عقارات والصور والاسعار
عثمان اسماعيل,2023_2024,تحليل البرمجيات الخبيثة,يهدف هذا المشروع الى استكشاف عمق وتعقيد تحليل البرمجيات الخبيثة من خلال الطريقتين الستاتيكية والديناميكية سيتم تقديم نظرة شاملة عن طبيعة البرمجيات الخبيثة وانواعها واساليب انتشارها واستعراض شامل للادوات وتقنيات المستخدمة في تحليلها  وعرض التحديات وتقنيات المستخدمة في مجال تحليل البيانات الخبيثة مع تقديم النتائج متوقعة واهميتها في مجال الامن سيبراني
جميلة ابراهيم,2023_2024,اقتراحات ذكية لبصمة الوجه,يساعد تطبيق على تقديم حلول ونصائح واقتراحات عن طريق الفديوهات والمنشورات معتمدا على مراعاة الفئة العمرية والحالة نفسية وحتى جنسية الفرد من خلال معالجة الوجه 
جميلة ابراهيم,2023_2024,نظام نادي ذكي,يهدف هذا النظام على تحسين تجربة المستخدم وتسهيل حياة رواد النادي من خلال توفير ادوات وخدمات تجعل تجربة الانخراط في نشاطات الرياضية اكثر يسر وراحة من خلال استخدام تكنولوجيا الحديثة لتطوير وتحسين عمليات الادارة والتدريب في نوادي
جميلة ابراهيم,2023_2024,تطبيق للإدارة وتحكم بمشفى الضبيط,تطبيق يساعد على معرفة تفاصيل المشفى بما فيها اسماء الاطباء واقسام وصور عن الاقسام ويضم مخطط تحليلي للمشفى وتقديم خدمات متكاملة نستطيع رؤية مواعيد الاطباء متاحة وغير كتاحة من اجل حجز موعد في الوقت الذي يناسبك مما يساعد في توفير الجهد وتعب وتخفيف الازدحام بالاضافة الى استخدام شريحة وربطها مع تطبيق لسهولة تحكم في حواضن الاطفال لمراقبة درجة الحرارة الحاضنة وتنبيه عند ارتفاع درجة حرارة عن طريق لغات برمجة Dart&Flutter
جميلة ابراهيم,2023_2024,المنصة الرقمية لجمعيات حلب لاستكشاف وتقديم الخدمات,يعتبر تطبيق الجمعية اداة رئيسية لتسهيل التفاعل بين الجمعيات الخيرية واعضائها والمتبرعين ومتطوعين المحتملين اهم مميزات اضافة طلبات تبرعات و اضافة طلبات تطوع وحملات الالقاح وخدمات تعليمية  ويهدف تطبيق مستخدم لتوفير واجه  بسيطة وسهلة للمستخدمين للتفاعل مع خدمات جمعية اهم مميزات هية استعراض خدمات الجمعية و تقديم على تطوع او تبرع
محمود رحال,2023_2024,روبوت الاسعاف الحربي,يهدف الى تصنيع روبوتات ذكية قادرة على تقديم الاسعافات الاولية ونقل الجرحى في مناطق حروب وكوارث يستخدم تكنلوجيا لتقديم المساعدة طبية بشكل سريع وفعال دون تعرض حياة الافراد للخطر
